Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,cart_i_o_read,cart_i_o_write,cart_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"cart_pod_restart_{container=""main"", instance=""kube","cart_pod_restart_{container=""main"", instance=""kube.2","cart_pod_restart_{container=""redis"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube.2","cart_pod_restart_{container=""server"", instance=""kube.3","cart_pod_restart_{container=""server"", instance=""kube.4","cart_pod_restart_{container=""server"", instance=""kube.5","cart_pod_restart_{container=""server"", instance=""kube.6","cart_pod_restart_{container=""server"", instance=""kube.7","cart_pod_restart_{container=""server"", instance=""kube.8","cart_pod_restart_{container=""server"", instance=""kube.9"
148,68,283.0,3921,0,12526657536,968,4296,,,368,,495.0,,27406,3323,,,143451,0.0251,0.0338,,,0.0019,,0.00115,,0.0198,0.0172,,,0.0205,0.0,,,0,0,,,0,,0,0,
150,63,430.9365079365079,3922,0,12537688064,968,4310,,,368,,495.0,,27590,3399,,,171715,0.028,0.0338,,,0.00192,,0.00124,,0.0199,0.0172,,,0.0214,0.0,,,0,0,,,0,,0,0,
152,85,429.05882352941177,3860,0,12538376192,1023,4362,,,368,,495.0,,27799,3908,,,173500,0.028,0.0338,,,0.00195,,0.00122,,0.0201,0.0172,,,0.0215,0.0,,,0,0,,,0,,0,0,
154,58,249.36206896551724,3907,0,12542488576,1024,4392,,,368,,495.0,,27995,3935,,,174715,0.028,0.0338,,,0.00195,,0.0012,,0.0202,0.0172,,,0.0227,0.0,,,0,0,,,0,,0,0,
156,62,291.0,3997,0,12556259328,989,4422,,,374,,495.0,,28190,3962,,,175911,0.028,0.0348,,,0.00195,,0.00119,,0.0226,0.0198,,,0.0235,0.0,,,0,0,,,0,,0,0,
158,44,818.5227272727273,3998,0,12560543744,1229,4300,,,374,,495.0,,28386,3989,,,178220,0.028,0.0348,,,0.00195,,0.00117,,0.0229,0.0198,,,0.0237,0.0,,,0,0,,,0,,0,0,
160,114,796.078947368421,3997,0,12562403328,1229,5351,,,374,,494.0,,28582,4016,,,180412,0.028,0.0348,,,0.00195,,0.00116,,0.0231,0.0203,,,0.0238,0.0,,,0,0,,,0,,0,0,
162,59,694.1525423728814,3997,0,12566732800,1229,5387,,,374,,499.0,,28777,4043,,,182935,0.0292,0.0348,,,0.00195,,0.00114,,0.0232,0.021,,,0.024,0.0,,,0,0,,,0,,0,0,
164,71,329.0,3926,0,12570996736,1229,5388,,,379,,499.0,,33904,4054,,,189194,0.0292,0.0337,,,0.00195,,0.00112,,0.0234,0.021,,,0.0242,0.0,,,0,0,,,0,,0,0,
166,43,728.9069767441861,3797,0,12568760320,1229,5468,,,379,,499.0,,34133,4054,,,190592,0.0282,0.0334,,,0.00201,,0.00114,,0.0253,0.021,,,0.0243,0.0,,,0,0,,,0,,0,0,
