i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system
0,1541,13259460608,678,2439,2107,3870,458,55665,3166.0,4380,321,14137,1873,623.0,952,90669,0.00404,0.0154,0.00289,0.0499,0.00251,0.0219,0.00281,0.0204,0.00765,0.00922,0.00832,0.00278,0.00196,0.0125
0,1541,13263687680,841,2439,2107,3746,458,55665,3126.0,4766,321,14137,2149,623.0,952,91329,0.00404,0.0178,0.00305,0.0615,0.00251,0.0267,0.00278,0.0207,0.00765,0.00922,0.01,0.00278,0.00189,0.0142
0,1541,13270605824,841,2439,2107,4846,455,55665,3085.0,4834,321,14137,2149,623.0,952,92452,0.00404,0.0178,0.00354,0.0615,0.00251,0.0267,0.00274,0.021,0.00765,0.00893,0.0104,0.00278,0.00241,0.0143
0,1505,13266120704,841,2540,2618,4846,470,55665,3044.0,4901,321,14137,2149,623.0,952,93106,0.00404,0.0178,0.00354,0.0615,0.00263,0.0267,0.00269,0.0213,0.00765,0.0113,0.0104,0.00278,0.00241,0.0146
0,1505,13263982592,841,2540,2618,4846,470,55665,3003.0,4969,322,16071,2149,623.0,993,95109,0.00404,0.0178,0.00354,0.0615,0.00263,0.0275,0.00266,0.0216,0.00765,0.0113,0.0104,0.00278,0.00241,0.0146
0,1505,13267783680,841,2860,2618,4846,470,70809,2931.0,5037,320,16071,2149,623.0,993,110567,0.00419,0.0178,0.00354,0.0615,0.00263,0.0284,0.00262,0.0218,0.00816,0.0113,0.0104,0.00278,0.00249,0.0148
0,1510,13268459520,841,2860,2618,5119,470,70809,2890.0,5104,372,16071,2149,638.0,993,110935,0.00419,0.0178,0.00354,0.0615,0.00263,0.0284,0.00258,0.0241,0.00816,0.0116,0.0104,0.00289,0.00249,0.015
0,1510,13267185664,958,2860,2618,5692,470,70809,2850.0,5172,372,16071,2250,801.0,993,111915,0.0046,0.0187,0.00354,0.0636,0.00263,0.0284,0.00255,0.0244,0.00816,0.0117,0.0104,0.00289,0.00249,0.0153
0,1550,13268463616,1008,2860,2682,5692,453,70809,2809.0,5239,372,16557,2250,801.0,1137,112668,0.0046,0.0213,0.00354,0.072,0.00263,0.0284,0.00251,0.0247,0.00816,0.0136,0.0104,0.00289,0.00249,0.0164
0,1550,13269676032,1008,2966,2766,5692,499,70809,2769.0,5888,372,16672,2690,801.0,1137,114068,0.0046,0.0213,0.00354,0.072,0.00278,0.034,0.00247,0.025,0.00941,0.0136,0.0123,0.00289,0.00249,0.0172
0,1509,13265555456,1008,2966,2766,5692,499,70809,2728.0,5963,372,17219,2690,801.0,1137,114650,0.0046,0.0213,0.00359,0.072,0.00283,0.034,0.00244,0.0254,0.00941,0.0136,0.0125,0.00289,0.0025,0.0172
0,1481,13262508032,1008,3299,2766,5692,506,70809,2687.0,6038,372,16713,2690,801.0,1154,114535,0.0046,0.0213,0.00356,0.072,0.00283,0.034,0.00236,0.0257,0.00941,0.0136,0.0129,0.00297,0.00248,0.0173
0,1481,13265293312,1008,3299,2669,5692,506,84507,2647.0,6113,372,21000,2690,801.0,1193,132497,0.0046,0.0213,0.00452,0.072,0.00283,0.034,0.00232,0.026,0.00941,0.0136,0.0129,0.00297,0.00306,0.0175
0,750,13268979712,1008,3299,3416,5692,506,84507,2373.0,6188,408,21000,2690,801.0,1193,133081,0.00474,0.0213,0.00452,0.072,0.00283,0.0361,0.00228,0.028,0.00941,0.0136,0.0129,0.00296,0.00306,0.0178
0,750,13271031808,1008,3385,3416,5862,506,88859,2373.0,6263,422,21000,2816,917.0,1317,138143,0.00474,0.0213,0.00452,0.072,0.00297,0.0361,0.00225,0.0284,0.00981,0.0136,0.0129,0.00296,0.00306,0.0179
0,750,13269364736,1008,3511,3416,5903,506,88859,2373.0,6338,422,21000,2816,948.0,1317,138417,0.00528,0.0226,0.00452,0.072,0.00297,0.0397,0.00221,0.0287,0.0112,0.0154,0.0129,0.00296,0.00306,0.0186
0,0,13265612800,972,3511,3416,5889,506,88859,2497.0,6919,422,21000,2816,948.0,1317,139073,0.00528,0.0249,0.00452,0.0726,0.00297,0.0397,0.00218,0.029,0.0112,0.016,0.0129,0.00296,0.00323,0.019
0,0,13272182784,1220,3887,3578,7078,506,88859,2456.0,7000,422,21000,3200,948.0,1317,141471,0.00528,0.0249,0.0048,0.0824,0.00305,0.0397,0.00214,0.0294,0.0112,0.016,0.0125,0.00296,0.00323,0.0198
0,0,13271068672,1266,3887,3578,7078,550,88859,2415.0,7081,422,21678,3200,948.0,1317,142279,0.00528,0.0249,0.0048,0.0824,0.00305,0.0397,0.00211,0.0297,0.0112,0.016,0.0149,0.00296,0.00323,0.02
0,806,13275250688,1266,3887,3578,7078,544,88859,2374.0,7162,422,24071,3200,948.0,1317,144706,0.00528,0.0249,0.0048,0.0824,0.00305,0.0397,0.00207,0.0301,0.0112,0.016,0.0155,0.00316,0.00323,0.0201
0,806,13266526208,1266,3887,4127,7078,547,88859,2334.0,7243,461,24863,3200,948.0,1366,146179,0.00532,0.0249,0.00561,0.0824,0.00305,0.0397,0.00204,0.0304,0.0116,0.016,0.0155,0.00316,0.00312,0.0202
0,806,13263835136,1266,3887,4127,7078,566,106232,2293.0,7324,461,24863,3200,993.0,1485,163775,0.00536,0.0249,0.00561,0.0856,0.00305,0.0397,0.002,0.0321,0.0129,0.016,0.0155,0.00316,0.00368,0.0208
0,806,13265756160,1266,3887,4127,7078,566,106232,2252.0,7405,480,24863,3572,993.0,1485,164207,0.00553,0.0249,0.00561,0.0856,0.00295,0.0415,0.00196,0.0325,0.0129,0.0167,0.0155,0.00316,0.00368,0.021
0,806,13264715776,1266,3887,4127,7078,566,106232,2211.0,7486,480,24863,3572,1098.0,1485,164352,0.00553,0.0255,0.00561,0.0856,0.00328,0.0402,0.00193,0.0329,0.0129,0.0182,0.0155,0.00316,0.00368,0.0212
0,1590,13255704576,1266,4033,4312,7297,566,106232,2171.0,8047,480,24863,3572,1098.0,1485,165423,0.00609,0.0248,0.00561,0.0905,0.00337,0.046,0.00191,0.0332,0.0129,0.0182,0.0155,0.00316,0.00368,0.0221
0,1590,13257195520,1385,3908,4312,7545,566,106232,2130.0,8134,480,24863,3572,1098.0,1485,165710,0.00609,0.0282,0.00561,0.0905,0.00337,0.046,0.00187,0.0336,0.0129,0.0182,0.0175,0.00316,0.00387,0.0226
0,1553,13252911104,1385,4462,4312,8289,548,106232,2089.0,8220,506,24863,3572,1098.0,1485,167061,0.00609,0.0282,0.00582,0.0905,0.00337,0.046,0.00183,0.0339,0.0129,0.0182,0.0175,0.00323,0.00387,0.0226
0,1588,13259415552,1425,4462,4312,8289,544,106232,2048.0,8306,506,24064,3572,1150.0,1538,166448,0.00609,0.0282,0.00582,0.0934,0.00337,0.046,0.0018,0.0353,0.0129,0.0182,0.0175,0.00328,0.00418,0.023
0,1623,13261152256,1475,4462,4701,8289,604,111226,1766.0,8392,506,28944,3780,1150.0,1538,176834,0.00609,0.0282,0.00563,0.0965,0.00337,0.0485,0.00176,0.0357,0.0129,0.0191,0.0175,0.00328,0.00418,0.0236
0,1623,13259513856,1475,4676,4701,8289,617,121656,1766.0,8478,506,28944,3926,1150.0,1663,187848,0.00609,0.0282,0.0056,0.0965,0.00337,0.0485,0.00155,0.036,0.0129,0.0191,0.0175,0.00328,0.00418,0.0236
0,1586,13262209024,1475,4676,4825,8289,617,121656,1890.0,8897,523,28944,3926,1150.0,1663,188532,0.00629,0.0282,0.00655,0.0965,0.00337,0.0485,0.00167,0.0364,0.0151,0.0186,0.0175,0.00328,0.00418,0.0238
0,1586,13264216064,1475,4676,4987,8685,617,121656,1850.0,8987,523,28944,3926,1247.0,1663,189236,0.00629,0.0282,0.00689,0.101,0.00326,0.0485,0.00164,0.0368,0.0151,0.0184,0.0175,0.00328,0.00418,0.0243
0,1586,13262127104,1581,4676,4987,8685,617,121656,1810.0,9076,523,28944,3926,1247.0,1663,189391,0.00629,0.0282,0.00689,0.101,0.00332,0.0525,0.0016,0.0371,0.0151,0.0211,0.0197,0.00328,0.00418,0.0251
0,1552,13264306176,1581,4676,4987,9162,617,121656,1770.0,9166,552,28944,3926,1247.0,1715,189999,0.00607,0.0281,0.00689,0.101,0.00368,0.0525,0.00156,0.0375,0.0151,0.0211,0.0197,0.00336,0.00439,0.0251
0,1630,13257863168,1581,5048,5200,9162,617,126837,1729.0,9255,552,29781,3926,1315.0,1715,196720,0.00668,0.0288,0.00689,0.101,0.00368,0.0525,0.00153,0.0379,0.0151,0.0211,0.0197,0.0034,0.00439,0.0253
0,1630,13254369280,1581,5048,5200,9162,654,126837,1689.0,9345,552,29987,4033,1315.0,1715,197118,0.00668,0.0324,0.00689,0.101,0.00368,0.054,0.00149,0.0364,0.0151,0.0223,0.0197,0.0034,0.00439,0.0257
